zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,latLong,isZillowOwned,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos
440742283,440742283,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6e3732d05b524f48e5ee224344610fa6-p_e.jpg,true,https://www.zillow.com/homedetails/424-Erie-St-W-Windsor-ON-N9A-6B9/440742283_zpid/,FOR_SALE,House for sale,C$,"C$379,000",379000,"424 Erie St W, Windsor, ON N9A 6B9",424 Erie St W,Windsor,ON,N9A6B9,false,4,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024093,Royal Lepage Binder Real Estate - 640 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
440259603,440259603,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6b5741cfd6c7bc19b8dce8d79708d95e-p_e.jpg,true,https://www.zillow.com/homedetails/822-Fairview-Blvd-Windsor-ON-N8S-3E5/440259603_zpid/,FOR_SALE,House for sale,C$,"C$399,000",399000,"822 Fairview Blvd, Windsor, ON N8S 3E5",822 Fairview Blvd,Windsor,ON,N8S3E5,false,4,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024057,Pinnacle Plus Realty Ltd. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
401693055,401693055,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2100fcc1e3556d6094ad8740c44c8019-p_e.jpg,true,https://www.zillow.com/homedetails/1579-Dougall-Ave-Windsor-ON-N8X-1S2/401693055_zpid/,FOR_SALE,House for sale,C$,"C$389,900",389900,"1579 Dougall Ave, Windsor, ON N8X 1S2",1579 Dougall Ave,Windsor,ON,N8X1S2,false,4,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024599,Royal Lepage Binder Real Estate Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441846047,441846047,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c4cdf84ff7fa8a7d9a62737ff90798c5-p_e.jpg,true,https://www.zillow.com/homedetails/1472-Central-Ave-Windsor-ON-N8Y-3V5/441846047_zpid/,FOR_SALE,House for sale,C$,"C$279,900",279900,"1472 Central Ave, Windsor, ON N8Y 3V5",1472 Central Ave,Windsor,ON,N8Y3V5,false,4,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024717,Deerbrook Plus Realty Inc. - 182 Brokerage,"[object Object],[object Object],[object Object]"
440743177,440743177,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4b9f32a25a36f1c5d56f0b378af0b62c-p_e.jpg,true,https://www.zillow.com/homedetails/1867-Ford-Blvd-Windsor-ON-N8T-2E2/440743177_zpid/,FOR_SALE,House for sale,C$,"C$445,000",445000,"1867 Ford Blvd, Windsor, ON N8T 2E2",1867 Ford Blvd,Windsor,ON,N8T2E2,false,4,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023636,Royal Lepage Binder Real Estate Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441643894,441643894,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/768e78378a3ba438f39d2f4d73a088ee-p_e.jpg,true,https://www.zillow.com/homedetails/1112-Janette-Ave-Windsor-ON-N9A-5A5/441643894_zpid/,FOR_SALE,House for sale,C$,"C$314,900",314900,"1112 Janette Ave, Windsor, ON N9A 5A5",1112 Janette Ave,Windsor,ON,N9A5A5,false,2,1,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024106,Royal Lepage Binder Real Estate - 640 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441199199,441199199,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/807e0085bb008e4ab044465de7a1333e-p_e.jpg,true,https://www.zillow.com/homedetails/4850-Grand-Blvd-304-Windsor-ON-N8T-3K9/441199199_zpid/,FOR_SALE,Condo for sale,C$,"C$299,900",299900,"4850 Grand Blvd #304, Windsor, ON N8T 3K9",4850 Grand Blvd #304,Windsor,ON,N8T3K9,false,2,1,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024602,Re/Max Capital Diamond Realty - 821 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441715838,441715838,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/65ac86b8de80d8183cc1e22fc807504d-p_e.jpg,true,https://www.zillow.com/homedetails/1584-Curry-Ave-Windsor-ON-N9B-3P1/441715838_zpid/,FOR_SALE,Multi-family home for sale,C$,"C$349,000",349000,"1584 Curry Ave, Windsor, ON N9B 3P1",1584 Curry Ave,Windsor,ON,N9B3P1,false,3,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024276,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441824060,441824060,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e7ba904e80eb83362864f0f64fc46f1e-p_e.jpg,true,https://www.zillow.com/homedetails/945-Edward-Ave-Windsor-ON-N8S-2Z7/441824060_zpid/,FOR_SALE,House for sale,C$,"C$579,900",579900,"945 Edward Ave, Windsor, ON N8S 2Z7",945 Edward Ave,Windsor,ON,N8S2Z7,false,3,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024625,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441722994,441722994,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cfc09ffb5c2782495860af8e4e2bc776-p_e.jpg,true,https://www.zillow.com/homedetails/655-Roseland-Dr-S-Windsor-ON-N9G-1T7/441722994_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"655 Roseland Dr S, Windsor, ON N9G 1T7",655 Roseland Dr S,Windsor,ON,N9G1T7,false,3,3,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024283,Re/Max Capital Diamond Realty - 821 Brokerage,"[object Object],[object Object],[object Object],[object Object]"
