zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,latLong,isZillowOwned,flexFieldText,flexFieldType,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos,hasOpenHouse,openHouseStartDate,openHouseEndDate,openHouseDescription
441945289,441945289,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5636e1db74f6e98573a7e25460725a97-p_e.jpg,true,https://www.zillow.com/homedetails/1605-Seymour-Blvd-Windsor-ON-N8W-5M7/441945289_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"1605 Seymour Blvd, Windsor, ON N8W 5M7",1605 Seymour Blvd,Windsor,ON,N8W5M7,false,3,2,[object Object],false,Generously sized bedrooms,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024878,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
441799688,441799688,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4dc223fbb1a8b1e8f20080d6d4db6c27-p_e.jpg,true,https://www.zillow.com/homedetails/1863-Durham-Pl-Windsor-ON-N8W-3A2/441799688_zpid/,FOR_SALE,House for sale,C$,"C$399,999",399999,"1863 Durham Pl, Windsor, ON N8W 3A2",1863 Durham Pl,Windsor,ON,N8W3A2,false,3,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024991,Re/Max Care Realty - 828 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
2076523780,2076523780,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3092deeedd61ecd09c351010a54505b7-p_e.jpg,true,https://www.zillow.com/homedetails/1739-Jefferson-St-Windsor-ON-N8T-2V6/2076523780_zpid/,FOR_SALE,House for sale,C$,"C$349,900",349900,"1739 Jefferson St, Windsor, ON N8T 2V6",1739 Jefferson St,Windsor,ON,N8T2V6,false,3,1,[object Object],false,Spacious bedrooms,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024863,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
441744055,441744055,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/55d39331254e03f7df83d5e952ed7d02-p_e.jpg,true,https://www.zillow.com/homedetails/3372-Candlewood-Cres-Windsor-ON-N8W-5M5/441744055_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"3372 Candlewood Cres, Windsor, ON N8W 5M5",3372 Candlewood Cres,Windsor,ON,N8W5M5,false,3,2,[object Object],false,California blinds,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024360,Key Solutions Realty Ltd. - 390 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
2066046340,2066046340,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c3c2b22810c0a5daebe902f4e39792d5-p_e.jpg,true,https://www.zillow.com/homedetails/380-Pelissier-St-1201-Windsor-ON-N9A-6V7/2066046340_zpid/,FOR_SALE,Condo for sale,C$,"C$399,000",399000,"380 Pelissier St #1201, Windsor, ON N9A 6V7",380 Pelissier St #1201,Windsor,ON,N9A6V7,false,3,2,[object Object],false,Renovated kitchen,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24017477,Real Broker Ontario Ltd Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
439717858,439717858,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5b87b03107b279ac37804e5c1b859711-p_e.jpg,true,https://www.zillow.com/homedetails/1352-Langlois-Ave-Windsor-ON-N8X-4L7/439717858_zpid/,FOR_SALE,House for sale,C$,"C$549,000",549000,"1352 Langlois Ave, Windsor, ON N8X 4L7",1352 Langlois Ave,Windsor,ON,N8X4L7,false,4,3,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021690,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
402614090,402614090,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/550c3ba77215b3ec0880a88a59c85fb9-p_e.jpg,true,https://www.zillow.com/homedetails/2813-Lionel-Dr-Windsor-ON-N8X-4X2/402614090_zpid/,FOR_SALE,House for sale,C$,"C$789,900",789900,"2813 Lionel Dr, Windsor, ON N8X 4X2",2813 Lionel Dr,Windsor,ON,N8X4X2,false,3,2,[object Object],false,Pristine landscaped year yard,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24017406,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
440497468,440497468,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7765a59f0c9f0ffe1f0d8c53523cdffd-p_e.jpg,true,https://www.zillow.com/homedetails/1268-Belleperche-Pl-Windsor-ON-N8S-3C5/440497468_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"1268 Belleperche Pl, Windsor, ON N8S 3C5",1268 Belleperche Pl,Windsor,ON,N8S3C5,false,3,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024911,Vision Realty Local Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
402308086,402308086,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bdbada945d2c05edc2861c6402ec8325-p_e.jpg,true,https://www.zillow.com/homedetails/432-Cabana-Rd-W-Windsor-ON-N9G-1B3/402308086_zpid/,FOR_SALE,House for sale,C$,"C$699,900",699900,"432 Cabana Rd W, Windsor, ON N9G 1B3",432 Cabana Rd W,Windsor,ON,N9G1B3,false,4,3,[object Object],false,Fully renovated main unit,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023985,Re/Max Capital Diamond Realty - 821 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
439967282,439967282,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c075b98f1ddb60a8b25407c57de03b94-p_e.jpg,true,https://www.zillow.com/homedetails/3571-Charlevoix-Ave-Windsor-ON-N9E-3B4/439967282_zpid/,FOR_SALE,House for sale,C$,"C$499,000",499000,"3571 Charlevoix Ave, Windsor, ON N9E 3B4",3571 Charlevoix Ave,Windsor,ON,N9E3B4,false,4,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021929,Homelife Gold Star Realty Inc Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
